1.2154035364e+15	3.6411293883e+00	8.5790884342e+03
1.2176862225e+15	3.6411541590e+00	8.5921949852e+03
1.2199689086e+15	3.6411790561e+00	8.6053168117e+03
1.2222515947e+15	3.6412040805e+00	8.6184546161e+03
1.2245342808e+15	3.6412292334e+00	8.6316091159e+03
1.2268169669e+15	3.6412545158e+00	8.6447810437e+03
1.2290996530e+15	3.6412799290e+00	8.6579711481e+03
1.2313823391e+15	3.6413054740e+00	8.6711801930e+03
1.2336650252e+15	3.6413311520e+00	8.6844089583e+03
1.2359477113e+15	3.6413569642e+00	8.6976582399e+03
1.2382303974e+15	3.6413829118e+00	8.7109288500e+03
1.2405130835e+15	3.6414089959e+00	8.7242216174e+03
1.2427957696e+15	3.6414352177e+00	8.7375373882e+03
1.2450784558e+15	3.6414615785e+00	8.7508770255e+03
1.2473611419e+15	3.6414880796e+00	8.7642414106e+03
1.2496438280e+15	3.6415147222e+00	8.7776314434e+03
1.2519265141e+15	3.6415415075e+00	8.7910480429e+03
1.2542092002e+15	3.6415684369e+00	8.8044921478e+03
1.2564918863e+15	3.6415955117e+00	8.8179647173e+03
1.2587745724e+15	3.6416227332e+00	8.8314667318e+03
1.2610572585e+15	3.6416501027e+00	8.8449991933e+03
1.2633399446e+15	3.6416776216e+00	8.8585631251e+03
1.2656226307e+15	3.6417052913e+00	8.8721595745e+03
1.2679053168e+15	3.6417331132e+00	8.8857896103e+03
1.2701880029e+15	3.6417610887e+00	8.8994543248e+03
1.2724706890e+15	3.6417892193e+00	8.9131548342e+03
1.2747533751e+15	3.6418175063e+00	8.9268922782e+03
1.2770360613e+15	3.6418459513e+00	8.9406678214e+03
1.2793187474e+15	3.6418745558e+00	8.9544826518e+03
1.2816014335e+15	3.6419033213e+00	8.9683379847e+03
1.2838841196e+15	3.6419322493e+00	8.9822350601e+03
1.2861668057e+15	3.6419613413e+00	8.9961751453e+03
1.2884494918e+15	3.6419905991e+00	9.0101595352e+03
1.2907321779e+15	3.6420200241e+00	9.0241895533e+03
1.2930148640e+15	3.6420496180e+00	9.0382665530e+03
1.2952975501e+15	3.6420793824e+00	9.0523919172e+03
1.2975802362e+15	3.6421093190e+00	9.0665670611e+03
1.2998629223e+15	3.6421394295e+00	9.0807934316e+03
1.3021456084e+15	3.6421697156e+00	9.0950725084e+03
1.3044282945e+15	3.6422001791e+00	9.1094058050e+03
1.3067109807e+15	3.6422308218e+00	9.1237948688e+03
1.3089936668e+15	3.6422616453e+00	9.1382412825e+03
1.3112763529e+15	3.6422926516e+00	9.1527466638e+03
1.3135590390e+15	3.6423238424e+00	9.1673126669e+03
1.3158417251e+15	3.6423552198e+00	9.1819409828e+03
1.3181244112e+15	3.6423867854e+00	9.1966333403e+03
1.3204070973e+15	3.6424185414e+00	9.2113915072e+03
1.3226897834e+15	3.6424504896e+00	9.2262172910e+03
1.3249724695e+15	3.6424826320e+00	9.2411125406e+03
1.3272551556e+15	3.6425149707e+00	9.2560791474e+03
1.3295378417e+15	3.6425475077e+00	9.2711190467e+03
1.3318205278e+15	3.6425802450e+00	9.2862342188e+03
1.3341032139e+15	3.6426131848e+00	9.3014266912e+03
1.3363859001e+15	3.6426463292e+00	9.3166985387e+03
1.3386685862e+15	3.6426796804e+00	9.3320518860e+03
1.3409512723e+15	3.6427132406e+00	9.3474889074e+03
1.3432339584e+15	3.6427470121e+00	9.3630118293e+03
1.3455166445e+15	3.6427809970e+00	9.3786229305e+03
1.3477993306e+15	3.6428151978e+00	9.3943245436e+03
1.3500820167e+15	3.6428496167e+00	9.4101190560e+03
1.3523647028e+15	3.6428842562e+00	9.4260089119e+03
1.3546473889e+15	3.6429191186e+00	9.4419966127e+03
1.3569300750e+15	3.6429542065e+00	9.4580847195e+03
1.3592127611e+15	3.6429895224e+00	9.4742758544e+03
1.3614954472e+15	3.6430250687e+00	9.4905727029e+03
1.3637781333e+15	3.6430608480e+00	9.5069780153e+03
1.3660608194e+15	3.6430968631e+00	9.5234946095e+03
1.3683435056e+15	3.6431331165e+00	9.5401253727e+03
1.3706261917e+15	3.6431696109e+00	9.5568732636e+03
1.3729088778e+15	3.6432063492e+00	9.5737413147e+03
1.3751915639e+15	3.6432433340e+00	9.5907326339e+03
1.3774742500e+15	3.6432805683e+00	9.6078504072e+03
1.3797569361e+15	3.6433180550e+00	9.6250978999e+03
1.3820396222e+15	3.6433557970e+00	9.6424784591e+03
1.3843223083e+15	3.6433937973e+00	9.6599955154e+03
1.3866049944e+15	3.6434320589e+00	9.6776525856e+03
1.3888876805e+15	3.6434705849e+00	9.6954532745e+03
1.3911703666e+15	3.6435093785e+00	9.7134012779e+03
1.3934530527e+15	3.6435484430e+00	9.7315003855e+03
1.3957357388e+15	3.6435877814e+00	9.7497544834e+03
1.3980184250e+15	3.6436273972e+00	9.7681675579e+03
1.4003011111e+15	3.6436672938e+00	9.7867436985e+03
1.4025837972e+15	3.6437074746e+00	9.8054871016e+03
1.4048664833e+15	3.6437479430e+00	9.8244020734e+03
1.4071491694e+15	3.6437887026e+00	9.8434930340e+03
1.4094318555e+15	3.6438297571e+00	9.8627645204e+03
1.4117145416e+15	3.6438711102e+00	9.8822211899e+03
1.4139972277e+15	3.6439127656e+00	9.9018678240e+03
1.4162799138e+15	3.6439547271e+00	9.9217093310e+03
1.4185625999e+15	3.6439969986e+00	9.9417507507e+03
1.4208452860e+15	3.6440395841e+00	9.9619972574e+03
1.4231279721e+15	3.6440824877e+00	9.9824541649e+03
1.4254106582e+15	3.6441257134e+00	1.0003126930e+04
